Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101375.511	101375.511	101375.511	101375.511	0	0	0	0	0	0	3
2	1	0	0.05	101378.333	101376.922	101375.511	101378.333	1.4114352	0	0	0	0	0	3
3	1	0	0.075	101375.677	101376.507	101375.511	101378.333	1.4114352	0	0	0	0	0	3
4	1	0	0.1	101370.049	101374.892	101370.049	101378.333	2.02958409	0	0	0	0	0	3
5	1	0	0.125	101361.135	101372.141	101361.135	101378.333	4.78106058	0	0	0	0	0	3
6	1	0	0.15	101354.301	101369.168	101354.301	101378.333	7.75435284	0	0	0	0	0	3
7	2	0	0.175	101348.394	101366.2	101348.394	101378.333	10.7220851	0	0	0	0	0	3
8	2	0	0.2	101344.647	101363.506	101344.647	101378.333	13.4162162	0	0	0	0	0	3
9	2	0	0.225	101343.404	101361.272	101343.404	101378.333	15.649762	0	0	0	0	0	3
10	2	0	0.25	101343.262	101359.471	101343.262	101378.333	17.4508198	0	0	0	0	0	3
11	2	0	0.275	101343.947	101358.06	101343.262	101378.333	18.8621232	0	0	0	0	0	3
12	2	0	0.3	101345.441	101357.008	101343.262	101378.333	19.9137154	0	0	0	0	0	3
13	2	0	0.325	101346.673	101356.213	101343.262	101378.333	20.7087091	0	0	0	0	0	3
14	2	0	0.35	101347.389	101355.583	101343.262	101378.333	21.338989	0	0	0	0	0	3
15	3	0	0.375	101347.663	101355.055	101343.262	101378.333	21.8669758	0	0	0	0	0	3
16	3	0	0.4	101347.72	101354.597	101343.262	101378.333	22.3254263	0	0	0	0	0	3
17	3	0	0.425	101347.653	101354.188	101343.262	101378.333	22.7338507	0	0	0	0	0	3
18	3	0	0.45	101347.531	101353.818	101343.262	101378.333	23.1036789	0	0	0	0	0	3
19	3	0	0.475	101347.369	101353.479	101343.262	101378.333	23.4431099	0	0	0	0	0	3
20	3	0	0.5	101347.237	101353.167	101343.262	101378.333	23.7552038	0	0	0	0	0	3
21	3	0	0.525	101347.15	101351.749	101343.262	101378.333	25.1732458	0	0	0	0	0	3
22	3	0	0.55	101347.099	101350.187	101343.262	101375.677	26.3198447	0	0	0	0	0	3
23	3	0	0.575	101347.086	101348.758	101343.262	101370.049	26.1348947	0	0	0	0	0	3
24	3	0	0.6	101347.068	101347.608	101343.262	101361.135	17.8733733	0	0	0	0	0	3
25	3	0	0.625	101347.074	101346.905	101343.262	101354.301	11.0395256	0	0	0	0	0	3
26	3	0	0.65	101347.072	101346.544	101343.262	101348.394	5.13186106	0	0	0	0	0	3
27	4	0	0.675	101347.083	101346.478	101343.262	101347.72	4.4581566	0	0	0	0	0	3
28	4	0	0.7	101347.083	101346.6	101343.262	101347.72	4.4581566	0	0	0	0	0	3
29	4	0	0.725	101347.061	101346.783	101343.262	101347.72	4.4581566	0	0	0	0	0	3
30	4	0	0.75	101347.052	101346.973	101343.947	101347.72	3.77297388	0	0	0	0	0	3
31	4	0	0.775	101347.033	101347.127	101345.441	101347.72	2.27904704	0	0	0	0	0	3
32	4	0	0.8	101347.02	101347.206	101346.673	101347.72	1.04644939	0	0	0	0	0	3
33	4	0	0.825	101346.997	101347.222	101346.997	101347.72	0.723031487	0	0	0	0	0	3
34	4	0	0.85	101346.987	101347.202	101346.987	101347.72	0.733238154	0	0	0	0	0	3
35	4	0	0.875	101346.979	101347.168	101346.979	101347.72	0.740813467	0	0	0	0	0	3
36	4	0	0.9	101346.979	101347.131	101346.979	101347.653	0.674355848	0	0	0	0	0	3
37	4	0	0.925	101346.973	101347.097	101346.973	101347.531	0.558435481	0	0	0	0	0	3
38	5	0	0.95	101346.971	101347.069	101346.971	101347.369	0.398551964	0	0	0	0	0	3
39	5	0	0.975	101346.968	101347.049	101346.968	101347.237	0.268844205	0	0	0	0	0	3
40	5	0	1	101346.968	101347.035	101346.968	101347.15	0.181558072	4.86224947	0	100	0	0	3
41	5	0	1.025	101346.965	101347.026	101346.965	101347.099	0.1339466	4.86224947	0	100	0	0	3
42	5	0	1.05	101346.964	101347.019	101346.964	101347.086	0.12225647	4.86224947	0	100	0	0	3
43	5	0	1.075	101346.962	101347.013	101346.962	101347.083	0.121772881	4.86224947	0	100	0	0	3
44	5	0	1.1	101346.96	101347.01	101346.96	101347.083	0.123539177	4.86224947	0	100	0	0	3
45	5	0	1.125	101346.96	101347.005	101346.96	101347.083	0.123670084	4.86224947	0	100	0	0	3
46	5	0	1.15	101346.958	101347	101346.958	101347.083	0.125339617	4.86224947	0	100	0	0	3
47	5	0	1.175	101346.955	101346.994	101346.955	101347.083	0.12869089	4.86224947	0	100	0	0	3
48	5	0	1.2	101346.95	101346.988	101346.95	101347.083	0.132923551	4.86224947	0	100	0	0	3
49	6	0	1.225	101346.947	101346.981	101346.947	101347.061	0.113925798	4.86224947	0	100	0	0	3
50	6	0	1.25	101346.943	101346.976	101346.943	101347.052	0.109010619	4.86224947	0	100	0	0	3
