Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	0	0	0	0	0	0	3
2	1	0	0.05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
3	1	0	0.075	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
4	1	0	0.1	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
5	1	0	0.125	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
6	1	0	0.15	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
7	2	0	0.175	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
8	2	0	0.2	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
9	2	0	0.225	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
10	2	0	0.25	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
11	2	0	0.275	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
12	2	0	0.3	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
13	2	0	0.325	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
14	2	0	0.35	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.69406589e-21	0	0	0	0	0	3
15	3	0	0.375	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
16	3	0	0.4	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
17	3	0	0.425	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
18	3	0	0.45	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
19	3	0	0.475	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
20	3	0	0.5	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
21	3	0	0.525	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
22	3	0	0.55	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
23	3	0	0.575	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
24	3	0	0.6	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
25	3	0	0.625	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
26	3	0	0.65	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
27	4	0	0.675	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
28	4	0	0.7	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
29	4	0	0.725	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
30	4	0	0.75	1.05335093e-05	1.05335093e-05	1.05335093e-05	1.05335093e-05	3.38813179e-21	0	0	0	0	0	3
