Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0704711742	0.0704711742	0.0704711742	0.0704711742	0	0	0	0	0	0	3
2	1	0	0.05	0.0731896839	0.071830429	0.0704711742	0.0731896839	0.00135925484	0	0	0	0	0	3
3	1	0	0.075	0.0746669063	0.0727759214	0.0704711742	0.0746669063	0.00230474725	0	0	0	0	0	3
4	1	0	0.1	0.0764518989	0.0736949158	0.0704711742	0.0764518989	0.00322374163	0	0	0	0	0	3
5	1	0	0.125	0.0779998374	0.0745559001	0.0704711742	0.0779998374	0.00408472593	0	0	0	0	0	3
6	1	0	0.15	0.0803123378	0.0755153064	0.0704711742	0.0803123378	0.00504413221	0	0	0	0	0	3
7	2	0	0.175	0.0825870644	0.0765255575	0.0704711742	0.0825870644	0.00605438334	0	0	0	0	0	3
8	2	0	0.2	0.0848451231	0.0775655032	0.0704711742	0.0848451231	0.00709432904	0	0	0	0	0	3
9	2	0	0.225	0.0871512779	0.0786305893	0.0704711742	0.0871512779	0.00815941511	0	0	0	0	0	3
10	2	0	0.25	0.0895045632	0.0797179867	0.0704711742	0.0895045632	0.0092468125	0	0	0	0	0	3
11	2	0	0.275	0.0931193827	0.0809362954	0.0704711742	0.0931193827	0.0104651212	0	0	0	0	0	3
12	2	0	0.3	0.0969921373	0.0822742822	0.0704711742	0.0969921373	0.011803108	0	0	0	0	0	3
13	2	0	0.325	0.100949094	0.0837108062	0.0704711742	0.100949094	0.013239632	0	0	0	0	0	3
14	2	0	0.35	0.105002673	0.0852316538	0.0704711742	0.105002673	0.0147604796	0	0	0	0	0	3
15	3	0	0.375	0.10891172	0.0868103248	0.0704711742	0.10891172	0.0163391507	0	0	0	0	0	3
16	3	0	0.4	0.114702365	0.0885535774	0.0704711742	0.114702365	0.0180824032	0	0	0	0	0	3
17	3	0	0.425	0.120277769	0.0904197063	0.0704711742	0.120277769	0.0199485321	0	0	0	0	0	3
18	3	0	0.45	0.12572245	0.0923809698	0.0704711742	0.12572245	0.0219097956	0	0	0	0	0	3
19	3	0	0.475	0.130807548	0.0944034213	0.0704711742	0.130807548	0.0239322471	0	0	0	0	0	3
20	3	0	0.5	0.135670108	0.0964667556	0.0704711742	0.135670108	0.0259955814	0	0	0	0	0	3
21	3	0	0.525	0.142252248	0.100055809	0.0731896839	0.142252248	0.0282253803	0	0	0	0	0	3
22	3	0	0.55	0.147992189	0.103795935	0.0746669063	0.147992189	0.0310200131	0	0	0	0	0	3
23	3	0	0.575	0.152832968	0.107704238	0.0764518989	0.152832968	0.0340093218	0	0	0	0	0	3
24	3	0	0.6	0.156960597	0.111729673	0.0779998374	0.156960597	0.0371737724	0	0	0	0	0	3
25	3	0	0.625	0.160522096	0.115855786	0.0803123378	0.160522096	0.0403404791	0	0	0	0	0	3
26	3	0	0.65	0.164759368	0.120078137	0.0825870644	0.164759368	0.0435525795	0	0	0	0	0	3
27	4	0	0.675	0.168035523	0.12435056	0.0848451231	0.168035523	0.0467850567	0	0	0	0	0	3
28	4	0	0.7	0.17077554	0.128647081	0.0871512779	0.17077554	0.0500164915	0	0	0	0	0	3
29	4	0	0.725	0.173176665	0.13294835	0.0895045632	0.173176665	0.0532303634	0	0	0	0	0	3
30	4	0	0.75	0.174988286	0.137222536	0.0931193827	0.174988286	0.0562862408	0	0	0	0	0	3
31	4	0	0.775	0.177349234	0.141434029	0.0969921373	0.177349234	0.0591597465	0	0	0	0	0	3
32	4	0	0.8	0.179172105	0.145543027	0.100949094	0.179172105	0.061832221	0	0	0	0	0	3
33	4	0	0.825	0.180504607	0.149520803	0.105002673	0.180504607	0.0642891491	0	0	0	0	0	3
34	4	0	0.85	0.181393789	0.153340359	0.10891172	0.181393789	0.0665300338	0	0	0	0	0	3
35	4	0	0.875	0.182089921	0.156999269	0.114702365	0.182089921	0.0673875564	0	0	0	0	0	3
36	4	0	0.9	0.182398325	0.160384067	0.120277769	0.182398325	0.0621205563	0	0	0	0	0	3
37	4	0	0.925	0.182395213	0.163489939	0.12572245	0.182398325	0.0566758747	0	0	0	0	0	3
38	5	0	0.95	0.18222386	0.166315009	0.130807548	0.182398325	0.0515907767	0	0	0	0	0	3
39	5	0	0.975	0.182018357	0.16887555	0.135670108	0.182398325	0.0467282168	0	0	0	0	0	3
40	5	0	1	0.181827497	0.171183419	0.142252248	0.182398325	0.0401460765	0.0161597128	0	40.2	0	0	3
41	5	0	1.025	0.182085083	0.173175061	0.147992189	0.182398325	0.0344061358	0.0161597128	0	46.9	0	0	3
42	5	0	1.05	0.18238628	0.174894766	0.152832968	0.182398325	0.0295653572	0.0161597128	0	54.6	0	0	3
43	5	0	1.075	0.182744564	0.176390345	0.156960597	0.182744564	0.0257839668	0.0161597128	0	62.6	0	0	3
44	5	0	1.1	0.183005791	0.176705367	0.156960597	0.183005791	0.0260451938	0.0161597128	0	62	0	0	3
45	5	0	1.125	0.18332432	0.177960782	0.160522096	0.18332432	0.0228022244	0.0161597128	0	70.8	0	0	3
