Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-5.34379809e-06	-5.34379809e-06	-5.34379809e-06	-5.34379809e-06	0	0	0	0	0	0	3
2	1	0	0.05	-5.4554038e-06	-5.39960095e-06	-5.4554038e-06	-5.34379809e-06	5.58028519e-08	0	0	0	0	0	3
3	1	0	0.075	-5.66548253e-06	-5.48822814e-06	-5.66548253e-06	-5.34379809e-06	1.44430048e-07	0	0	0	0	0	3
4	1	0	0.1	-5.77621824e-06	-5.56022566e-06	-5.77621824e-06	-5.34379809e-06	2.16427572e-07	0	0	0	0	0	3
5	1	0	0.125	-5.91694928e-06	-5.63157039e-06	-5.91694928e-06	-5.34379809e-06	2.87772295e-07	0	0	0	0	0	3
6	1	0	0.15	-6.03695294e-06	-5.69913415e-06	-6.03695294e-06	-5.34379809e-06	3.55336055e-07	0	0	0	0	0	3
7	2	0	0.175	-6.2157966e-06	-5.77294307e-06	-6.2157966e-06	-5.34379809e-06	4.29144977e-07	0	0	0	0	0	3
8	2	0	0.2	-6.39165458e-06	-5.85028201e-06	-6.39165458e-06	-5.34379809e-06	5.06483915e-07	0	0	0	0	0	3
9	2	0	0.225	-6.56663808e-06	-5.92987713e-06	-6.56663808e-06	-5.34379809e-06	5.86079034e-07	0	0	0	0	0	3
10	2	0	0.25	-6.74484997e-06	-6.01137441e-06	-6.74484997e-06	-5.34379809e-06	6.67576319e-07	0	0	0	0	0	3
11	2	0	0.275	-6.92744176e-06	-6.09465326e-06	-6.92744176e-06	-5.34379809e-06	7.50855168e-07	0	0	0	0	0	3
12	2	0	0.3	-7.20843612e-06	-6.1874685e-06	-7.20843612e-06	-5.34379809e-06	8.43670407e-07	0	0	0	0	0	3
13	2	0	0.325	-7.50882113e-06	-6.28911101e-06	-7.50882113e-06	-5.34379809e-06	9.45312916e-07	0	0	0	0	0	3
14	2	0	0.35	-7.81492883e-06	-6.398098e-06	-7.81492883e-06	-5.34379809e-06	1.0542999e-06	0	0	0	0	0	3
15	3	0	0.375	-8.12860382e-06	-6.51346505e-06	-8.12860382e-06	-5.34379809e-06	1.16966696e-06	0	0	0	0	0	3
16	3	0	0.4	-8.43015641e-06	-6.63325826e-06	-8.43015641e-06	-5.34379809e-06	1.28946017e-06	0	0	0	0	0	3
17	3	0	0.425	-8.8786731e-06	-6.76534149e-06	-8.8786731e-06	-5.34379809e-06	1.42154339e-06	0	0	0	0	0	3
18	3	0	0.45	-9.30969961e-06	-6.90669472e-06	-9.30969961e-06	-5.34379809e-06	1.56289662e-06	0	0	0	0	0	3
19	3	0	0.475	-9.73145991e-06	-7.05536657e-06	-9.73145991e-06	-5.34379809e-06	1.71156848e-06	0	0	0	0	0	3
20	3	0	0.5	-1.01239753e-05	-7.20879701e-06	-1.01239753e-05	-5.34379809e-06	1.86499891e-06	0	0	0	0	0	3
21	3	0	0.525	-1.05011326e-05	-7.46666373e-06	-1.05011326e-05	-5.4554038e-06	2.06706279e-06	0	0	0	0	0	3
22	3	0	0.55	-1.10098112e-05	-7.7443841e-06	-1.10098112e-05	-5.66548253e-06	2.25615596e-06	0	0	0	0	0	3
23	3	0	0.575	-1.14529466e-05	-8.03375731e-06	-1.14529466e-05	-5.77621824e-06	2.47353164e-06	0	0	0	0	0	3
24	3	0	0.6	-1.18269359e-05	-8.33629319e-06	-1.18269359e-05	-5.91694928e-06	2.7047228e-06	0	0	0	0	0	3
25	3	0	0.625	-1.21471455e-05	-8.647803e-06	-1.21471455e-05	-6.03695294e-06	2.94866885e-06	0	0	0	0	0	3
26	3	0	0.65	-1.2423447e-05	-8.9671277e-06	-1.2423447e-05	-6.2157966e-06	3.19418463e-06	0	0	0	0	0	3
27	4	0	0.675	-1.27509028e-05	-9.29388301e-06	-1.27509028e-05	-6.39165458e-06	3.443601e-06	0	0	0	0	0	3
28	4	0	0.7	-1.30041677e-05	-9.62450867e-06	-1.30041677e-05	-6.56663808e-06	3.69463154e-06	0	0	0	0	0	3
29	4	0	0.725	-1.3216618e-05	-9.95700767e-06	-1.3216618e-05	-6.74484997e-06	3.94563326e-06	0	0	0	0	0	3
30	4	0	0.75	-1.34012955e-05	-1.02898299e-05	-1.34012955e-05	-6.92744176e-06	4.19517668e-06	0	0	0	0	0	3
31	4	0	0.775	-1.35396966e-05	-1.06204427e-05	-1.35396966e-05	-7.20843612e-06	4.43297418e-06	0	0	0	0	0	3
32	4	0	0.8	-1.37144358e-05	-1.09457427e-05	-1.37144358e-05	-7.50882113e-06	4.65663166e-06	0	0	0	0	0	3
33	4	0	0.825	-1.38500941e-05	-1.12628063e-05	-1.38500941e-05	-7.81492883e-06	4.86470832e-06	0	0	0	0	0	3
34	4	0	0.85	-1.39490986e-05	-1.15695148e-05	-1.39490986e-05	-8.12860382e-06	5.05604975e-06	0	0	0	0	0	3
35	4	0	0.875	-1.40136744e-05	-1.18637683e-05	-1.40136744e-05	-8.43015641e-06	5.23051007e-06	0	0	0	0	0	3
36	4	0	0.9	-1.40636259e-05	-1.21454418e-05	-1.40636259e-05	-8.8786731e-06	5.1849528e-06	0	0	0	0	0	3
37	4	0	0.925	-1.40887497e-05	-1.24059456e-05	-1.40887497e-05	-9.30969961e-06	4.77905012e-06	0	0	0	0	0	3
38	5	0	0.95	-1.40947152e-05	-1.26451964e-05	-1.40947152e-05	-9.73145991e-06	4.36325526e-06	0	0	0	0	0	3
39	5	0	0.975	-1.40849623e-05	-1.28628715e-05	-1.40947152e-05	-1.01239753e-05	3.97073985e-06	0	0	0	0	0	3
40	5	0	1	-1.40682512e-05	-1.30600853e-05	-1.40947152e-05	-1.05011326e-05	3.59358253e-06	1.2643849e-06	0	35.1	0	0	3
