Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0655140295	0.0655140295	0.0655140295	0.0655140295	0	0	0	0	0	0	3
2	1	0	0.05	0.0628131237	0.0641635766	0.0628131237	0.0655140295	0.0013504529	0	0	0	0	0	3
3	1	0	0.075	0.061355471	0.0632275414	0.061355471	0.0655140295	0.00228648811	0	0	0	0	0	3
4	1	0	0.1	0.0595542006	0.0623092062	0.0595542006	0.0655140295	0.00320482332	0	0	0	0	0	3
5	1	0	0.125	0.0580096919	0.0614493033	0.0580096919	0.0655140295	0.00406472619	0	0	0	0	0	3
6	1	0	0.15	0.0557025416	0.0604915097	0.0557025416	0.0655140295	0.00502251982	0	0	0	0	0	3
7	2	0	0.175	0.0534325096	0.0594830811	0.0534325096	0.0655140295	0.00603094841	0	0	0	0	0	3
8	2	0	0.2	0.0511783473	0.0584449894	0.0511783473	0.0655140295	0.00706904014	0	0	0	0	0	3
9	2	0	0.225	0.0488779929	0.0573819898	0.0488779929	0.0655140295	0.00813203975	0	0	0	0	0	3
10	2	0	0.25	0.0465241479	0.0562962056	0.0465241479	0.0655140295	0.00921782394	0	0	0	0	0	3
11	2	0	0.275	0.0429167874	0.0550798949	0.0429167874	0.0655140295	0.0104341347	0	0	0	0	0	3
12	2	0	0.3	0.0390517143	0.0537442131	0.0390517143	0.0655140295	0.0117698164	0	0	0	0	0	3
13	2	0	0.325	0.0351033489	0.0523103005	0.0351033489	0.0655140295	0.013203729	0	0	0	0	0	3
14	2	0	0.35	0.0310590475	0.0507923539	0.0310590475	0.0655140295	0.0147216757	0	0	0	0	0	3
15	3	0	0.375	0.0271627219	0.0492170451	0.0271627219	0.0655140295	0.0162969845	0	0	0	0	0	3
16	3	0	0.4	0.021385354	0.0474775644	0.021385354	0.0655140295	0.0180364652	0	0	0	0	0	3
17	3	0	0.425	0.0158518179	0.0456172263	0.0158518179	0.0655140295	0.0198968032	0	0	0	0	0	3
18	3	0	0.45	0.0104917782	0.0436658126	0.0104917782	0.0655140295	0.021848217	0	0	0	0	0	3
19	3	0	0.475	0.00619475087	0.0416936514	0.00619475087	0.0655140295	0.0238203781	0	0	0	0	0	3
20	3	0	0.5	0.00447681602	0.0398328096	0.00447681602	0.0655140295	0.0256812199	0	0	0	0	0	3
21	3	0	0.525	0.00755630542	0.0369349234	0.00447681602	0.0628131237	0.0272286532	0	0	0	0	0	3
22	3	0	0.55	0.0118727601	0.0343879053	0.00447681602	0.061355471	0.0288396362	0	0	0	0	0	3
23	3	0	0.575	0.0167765201	0.0321589577	0.00447681602	0.0595542006	0.0301502485	0	0	0	0	0	3
24	3	0	0.6	0.0208990271	0.030226199	0.00447681602	0.0580096919	0.0312231043	0	0	0	0	0	3
25	3	0	0.625	0.0244377722	0.0285476031	0.00447681602	0.0557025416	0.0319439067	0	0	0	0	0	3
26	3	0	0.65	0.0286570824	0.0271953301	0.00447681602	0.0534325096	0.032287751	0	0	0	0	0	3
27	4	0	0.675	0.0319120036	0.0261193048	0.00447681602	0.0511783473	0.0323256846	0	0	0	0	0	3
28	4	0	0.7	0.0346087527	0.0252908251	0.00447681602	0.0488779929	0.0320911647	0	0	0	0	0	3
29	4	0	0.725	0.0369716578	0.0246955083	0.00447681602	0.0465241479	0.0316006973	0	0	0	0	0	3
30	4	0	0.75	0.0387816543	0.0243083836	0.00447681602	0.0429167874	0.0307715112	0	0	0	0	0	3
31	4	0	0.775	0.0410210532	0.0242135969	0.00447681602	0.0410210532	0.0295306162	0	0	0	0	0	3
32	4	0	0.8	0.0427749146	0.0243997569	0.00447681602	0.0427749146	0.0280967036	0	0	0	0	0	3
33	4	0	0.825	0.0440588788	0.0248475334	0.00447681602	0.0440588788	0.0265787569	0	0	0	0	0	3
34	4	0	0.85	0.0448936177	0.025539262	0.00447681602	0.0448936177	0.0250034481	0	0	0	0	0	3
35	4	0	0.875	0.0455199191	0.0264571218	0.00447681602	0.0455199191	0.0232639674	0	0	0	0	0	3
36	4	0	0.9	0.0458631484	0.0276810115	0.00447681602	0.0458631484	0.0214036294	0	0	0	0	0	3
37	4	0	0.925	0.0459199657	0.0291844189	0.00447681602	0.0459199657	0.0194522156	0	0	0	0	0	3
38	5	0	0.95	0.045786443	0.0309491522	0.00447681602	0.0459199657	0.0174800545	0	0	0	0	0	3
39	5	0	0.975	0.0455682933	0.0329178293	0.00447681602	0.0459199657	0.0156192127	0	0	0	0	0	3
40	5	0	1	0.045457574	0.0349668672	0.00755630542	0.0459199657	0.0127213265	0.00853179825	0	67	0	0	3
41	5	0	1.025	0.0455963183	0.0368688678	0.0118727601	0.0459199657	0.0126552709	0.00853179825	0	67.4	0	0	3
42	5	0	1.05	0.045737236	0.0385620916	0.0167765201	0.0459199657	0.0143484947	0.00853179825	0	59.4	0	0	3
43	5	0	1.075	0.04589045	0.0400177881	0.0208990271	0.0459199657	0.0158041912	0.00853179825	0	53.9	0	0	3
44	5	0	1.1	0.0459974183	0.0403025324	0.0208990271	0.0459974183	0.0160889355	0.00853179825	0	53	0	0	3
45	5	0	1.125	0.0461639243	0.0415056228	0.0244377722	0.0461639243	0.0172920258	0.00853179825	0	49.3	0	0	3
46	5	0	1.15	0.0461801387	0.0425409735	0.0286570824	0.0461801387	0.0175230562	0.00853179825	0	48.6	0	0	3
47	5	0	1.175	0.0462643613	0.0433794154	0.0319120036	0.0462643613	0.0143523577	0.00853179825	0	59.4	0	0	3
48	5	0	1.2	0.0464089054	0.044069744	0.0346087527	0.0464089054	0.0118001526	0.00853179825	0	72.3	0	0	3
49	6	0	1.225	0.0464993531	0.0446359631	0.0369716578	0.0464993531	0.00952769529	0.00853179825	0	89.5	0	0	3
50	6	0	1.25	0.0466204357	0.0450954287	0.0387816543	0.0466204357	0.00783878131	0.00853179825	0	100	0	0	3
