Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-5.18800115e-06	-5.18800115e-06	-5.18800115e-06	-5.18800115e-06	0	0	0	0	0	0	3
2	1	0	0.05	-5.07833172e-06	-5.13316643e-06	-5.18800115e-06	-5.07833172e-06	5.48347117e-08	0	0	0	0	0	3
3	1	0	0.075	-4.86868382e-06	-5.04500556e-06	-5.18800115e-06	-4.86868382e-06	1.42995583e-07	0	0	0	0	0	3
4	1	0	0.1	-4.75821309e-06	-4.97330744e-06	-5.18800115e-06	-4.75821309e-06	2.14693702e-07	0	0	0	0	0	3
5	1	0	0.125	-4.61779216e-06	-4.90220439e-06	-5.18800115e-06	-4.61779216e-06	2.8579676e-07	0	0	0	0	0	3
6	1	0	0.15	-4.49778435e-06	-4.83480105e-06	-5.18800115e-06	-4.49778435e-06	3.53200098e-07	0	0	0	0	0	3
7	2	0	0.175	-4.31908533e-06	-4.76112737e-06	-5.18800115e-06	-4.31908533e-06	4.26873772e-07	0	0	0	0	0	3
8	2	0	0.2	-4.14332312e-06	-4.68390184e-06	-5.18800115e-06	-4.14332312e-06	5.04099304e-07	0	0	0	0	0	3
9	2	0	0.225	-3.96834144e-06	-4.60439513e-06	-5.18800115e-06	-3.96834144e-06	5.83606016e-07	0	0	0	0	0	3
10	2	0	0.25	-3.79017377e-06	-4.52297299e-06	-5.18800115e-06	-3.79017377e-06	6.65028152e-07	0	0	0	0	0	3
11	2	0	0.275	-3.60752255e-06	-4.43975023e-06	-5.18800115e-06	-3.60752255e-06	7.48250919e-07	0	0	0	0	0	3
12	2	0	0.3	-3.32644231e-06	-4.34697457e-06	-5.18800115e-06	-3.32644231e-06	8.41026579e-07	0	0	0	0	0	3
13	2	0	0.325	-3.0260223e-06	-4.24536285e-06	-5.18800115e-06	-3.0260223e-06	9.42638292e-07	0	0	0	0	0	3
14	2	0	0.35	-2.71996655e-06	-4.13640598e-06	-5.18800115e-06	-2.71996655e-06	1.05159517e-06	0	0	0	0	0	3
15	3	0	0.375	-2.40637198e-06	-4.02107038e-06	-5.18800115e-06	-2.40637198e-06	1.16693077e-06	0	0	0	0	0	3
16	3	0	0.4	-2.10496548e-06	-3.90131382e-06	-5.18800115e-06	-2.10496548e-06	1.28668733e-06	0	0	0	0	0	3
17	3	0	0.425	-1.65655466e-06	-3.76926916e-06	-5.18800115e-06	-1.65655466e-06	1.41873198e-06	0	0	0	0	0	3
18	3	0	0.45	-1.22561655e-06	-3.62795513e-06	-5.18800115e-06	-1.22561655e-06	1.56004602e-06	0	0	0	0	0	3
19	3	0	0.475	-8.03842107e-07	-3.4793176e-06	-5.18800115e-06	-8.03842107e-07	1.70868354e-06	0	0	0	0	0	3
20	3	0	0.5	-4.11377819e-07	-3.32592061e-06	-5.18800115e-06	-4.11377819e-07	1.86208053e-06	0	0	0	0	0	3
21	3	0	0.525	-3.41826645e-08	-3.06822969e-06	-5.07833172e-06	-3.41826645e-08	2.06493675e-06	0	0	0	0	0	3
22	3	0	0.55	4.74449921e-07	-2.79059061e-06	-4.86868382e-06	4.74449921e-07	2.25441496e-06	0	0	0	0	0	3
23	3	0	0.575	9.17418251e-07	-2.5012855e-06	-4.75821309e-06	9.17418251e-07	2.47202194e-06	0	0	0	0	0	3
24	3	0	0.6	1.29131755e-06	-2.19880897e-06	-4.61779216e-06	1.29131755e-06	2.70339542e-06	0	0	0	0	0	3
25	3	0	0.625	1.61152769e-06	-1.88734298e-06	-4.49778435e-06	1.61152769e-06	2.94745807e-06	0	0	0	0	0	3
26	3	0	0.65	1.88783171e-06	-1.56806217e-06	-4.31908533e-06	1.88783171e-06	3.1930652e-06	0	0	0	0	0	3
27	4	0	0.675	2.21528447e-06	-1.24134368e-06	-4.14332312e-06	2.21528447e-06	3.44255816e-06	0	0	0	0	0	3
28	4	0	0.7	2.46852164e-06	-9.10751447e-07	-3.96834144e-06	2.46852164e-06	3.69364368e-06	0	0	0	0	0	3
29	4	0	0.725	2.6807006e-06	-5.78299345e-07	-3.79017377e-06	2.6807006e-06	3.94467365e-06	0	0	0	0	0	3
30	4	0	0.75	2.86537331e-06	-2.45521991e-07	-3.60752255e-06	2.86537331e-06	4.19422824e-06	0	0	0	0	0	3
31	4	0	0.775	3.00383766e-06	8.50460196e-08	-3.32644231e-06	3.00383766e-06	4.43202059e-06	0	0	0	0	0	3
32	4	0	0.8	3.17862614e-06	4.10299442e-07	-3.0260223e-06	3.17862614e-06	4.6556623e-06	0	0	0	0	0	3
33	4	0	0.825	3.31416629e-06	7.27308872e-07	-2.71996655e-06	3.31416629e-06	4.86371485e-06	0	0	0	0	0	3
34	4	0	0.85	3.41345007e-06	1.0339797e-06	-2.40637198e-06	3.41345007e-06	5.05505008e-06	0	0	0	0	0	3
35	4	0	0.875	3.4783102e-06	1.32821381e-06	-2.10496548e-06	3.4783102e-06	5.22952763e-06	0	0	0	0	0	3
36	4	0	0.9	3.52826133e-06	1.60987515e-06	-1.65655466e-06	3.52826133e-06	5.18481599e-06	0	0	0	0	0	3
37	4	0	0.925	3.553529e-06	1.87037933e-06	-1.22561655e-06	3.553529e-06	4.77914555e-06	0	0	0	0	0	3
38	5	0	0.95	3.55953497e-06	2.10963691e-06	-8.03842107e-07	3.55953497e-06	4.36337707e-06	0	0	0	0	0	3
39	5	0	0.975	3.54969707e-06	2.32731387e-06	-4.11377819e-07	3.55953497e-06	3.97091279e-06	0	0	0	0	0	3
40	5	0	1	3.53286198e-06	2.52452586e-06	-3.41826645e-08	3.55953497e-06	3.59371763e-06	1.26423282e-06	0	35.1	0	0	3
41	5	0	1.025	3.5262054e-06	2.70254526e-06	4.74449921e-07	3.55953497e-06	3.08508505e-06	1.26423282e-06	0	40.9	0	0	3
42	5	0	1.05	3.53964534e-06	2.85580503e-06	9.17418251e-07	3.55953497e-06	2.64211672e-06	1.26423282e-06	0	47.8	0	0	3
43	5	0	1.075	3.54763283e-06	2.98731576e-06	1.29131755e-06	3.55953497e-06	2.26821742e-06	1.26423282e-06	0	55.7	0	0	3
44	5	0	1.1	3.55849689e-06	3.01451486e-06	1.29131755e-06	3.55953497e-06	2.26821742e-06	1.26423282e-06	0	55.7	0	0	3
45	5	0	1.125	3.56589804e-06	3.12282822e-06	1.61152769e-06	3.56589804e-06	1.95437034e-06	1.26423282e-06	0	64.6	0	0	3
46	5	0	1.15	3.57972015e-06	3.21655167e-06	1.88783171e-06	3.57972015e-06	1.69188844e-06	1.26423282e-06	0	74.7	0	0	3
47	5	0	1.175	3.57855859e-06	3.29706248e-06	2.21528447e-06	3.57972015e-06	1.36443568e-06	1.26423282e-06	0	92.6	0	0	3
48	5	0	1.2	3.58661414e-06	3.36236389e-06	2.46852164e-06	3.58661414e-06	1.11809249e-06	1.26423282e-06	0	100	0	0	3
49	6	0	1.225	3.5979935e-06	3.41614826e-06	2.6807006e-06	3.5979935e-06	9.17292908e-07	1.26423282e-06	0	100	0	0	3
50	6	0	1.25	3.60410551e-06	3.46011992e-06	2.86537331e-06	3.60410551e-06	7.38732202e-07	1.26423282e-06	0	100	0	0	3
