Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	2.05035825e-09	2.05035825e-09	2.05035825e-09	2.05035825e-09	0	0	0	0	0	0	3
2	1	0	0.05	4.33891545e-11	1.0468737e-09	4.33891545e-11	2.05035825e-09	1.00348455e-09	0	0	0	0	0	3
3	1	0	0.075	-1.57201937e-10	6.45515157e-10	-1.57201937e-10	2.05035825e-09	1.4048431e-09	0	0	0	0	0	3
4	1	0	0.1	-1.90773845e-10	4.36442907e-10	-1.90773845e-10	2.05035825e-09	1.61391535e-09	0	0	0	0	0	3
5	1	0	0.125	-3.28173628e-10	2.835196e-10	-3.28173628e-10	2.05035825e-09	1.76683865e-09	0	0	0	0	0	3
6	1	0	0.15	-1.54882434e-10	2.10452594e-10	-3.28173628e-10	2.05035825e-09	1.83990566e-09	0	0	0	0	0	3
7	2	0	0.175	-2.11853981e-10	1.50123083e-10	-3.28173628e-10	2.05035825e-09	1.90023517e-09	0	0	0	0	0	3
8	2	0	0.2	-2.52801668e-10	9.97574892e-11	-3.28173628e-10	2.05035825e-09	1.95060076e-09	0	0	0	0	0	3
9	2	0	0.225	-2.07841459e-10	6.55798283e-11	-3.28173628e-10	2.05035825e-09	1.98477843e-09	0	0	0	0	0	3
10	2	0	0.25	-2.24053062e-10	3.66165393e-11	-3.28173628e-10	2.05035825e-09	2.01374171e-09	0	0	0	0	0	3
11	2	0	0.275	-1.18248283e-10	2.25379191e-11	-3.28173628e-10	2.05035825e-09	2.02782033e-09	0	0	0	0	0	3
12	2	0	0.3	2.1949709e-11	2.24889016e-11	-3.28173628e-10	2.05035825e-09	2.02786935e-09	0	0	0	0	0	3
13	2	0	0.325	1.08408918e-10	2.90981336e-11	-3.28173628e-10	2.05035825e-09	2.02786935e-09	0	0	0	0	0	3
14	2	0	0.35	9.56940307e-11	3.38549834e-11	-3.28173628e-10	2.05035825e-09	2.02786935e-09	0	0	0	0	0	3
15	3	0	0.375	5.07037631e-11	3.49782354e-11	-3.28173628e-10	2.05035825e-09	2.02786935e-09	0	0	0	0	0	3
16	3	0	0.4	-7.42294453e-11	2.81527553e-11	-3.28173628e-10	2.05035825e-09	2.02786935e-09	0	0	0	0	0	3
17	3	0	0.425	-1.52967088e-10	1.74986469e-11	-3.28173628e-10	2.05035825e-09	2.03285961e-09	0	0	0	0	0	3
18	3	0	0.45	-2.13536674e-10	4.66335128e-12	-3.28173628e-10	2.05035825e-09	2.0456949e-09	0	0	0	0	0	3
19	3	0	0.475	-1.53707942e-10	-3.67197996e-12	-3.28173628e-10	2.05035825e-09	2.05403023e-09	0	0	0	0	0	3
