Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101328.464	101328.464	101328.464	101328.464	0	0	0	0	0	0	3
2	1	0	0.05	101327.067	101327.766	101327.067	101328.464	0.698953799	0	0	0	0	0	3
3	1	0	0.075	101326.889	101327.473	101326.889	101328.464	0.991294151	0	0	0	0	0	3
4	1	0	0.1	101326.645	101327.266	101326.645	101328.464	1.19838753	0	0	0	0	0	3
5	1	0	0.125	101326.321	101327.077	101326.321	101328.464	1.38735388	0	0	0	0	0	3
6	1	0	0.15	101326.06	101326.908	101326.06	101328.464	1.55694641	0	0	0	0	0	3
7	2	0	0.175	101325.829	101326.753	101325.829	101328.464	1.71107135	0	0	0	0	0	3
8	2	0	0.2	101325.684	101326.62	101325.684	101328.464	1.84472711	0	0	0	0	0	3
9	2	0	0.225	101325.635	101326.51	101325.635	101328.464	1.95417773	0	0	0	0	0	3
10	2	0	0.25	101325.628	101326.422	101325.628	101328.464	2.04238614	0	0	0	0	0	3
11	2	0	0.275	101325.65	101326.352	101325.628	101328.464	2.1125621	0	0	0	0	0	3
12	2	0	0.3	101325.701	101326.298	101325.628	101328.464	2.16683234	0	0	0	0	0	3
13	2	0	0.325	101325.744	101326.255	101325.628	101328.464	2.20945082	0	0	0	0	0	3
14	2	0	0.35	101325.767	101326.22	101325.628	101328.464	2.24429942	0	0	0	0	0	3
15	3	0	0.375	101325.776	101326.191	101325.628	101328.464	2.27392012	0	0	0	0	0	3
16	3	0	0.4	101325.775	101326.165	101325.628	101328.464	2.29988651	0	0	0	0	0	3
17	3	0	0.425	101325.769	101326.141	101325.628	101328.464	2.32314399	0	0	0	0	0	3
18	3	0	0.45	101325.762	101326.12	101325.628	101328.464	2.34419563	0	0	0	0	0	3
19	3	0	0.475	101325.755	101326.101	101325.628	101328.464	2.36343272	0	0	0	0	0	3
20	3	0	0.5	101325.749	101326.083	101325.628	101328.464	2.38102658	0	0	0	0	0	3
21	3	0	0.525	101325.747	101325.948	101325.628	101327.067	1.43835422	0	0	0	0	0	3
22	3	0	0.55	101325.743	101325.881	101325.628	101326.889	1.26028696	0	0	0	0	0	3
23	3	0	0.575	101325.739	101325.824	101325.628	101326.645	1.01659414	0	0	0	0	0	3
24	3	0	0.6	101325.736	101325.778	101325.628	101326.321	0.693042538	0	0	0	0	0	3
25	3	0	0.625	101325.733	101325.749	101325.628	101326.06	0.431352769	0	0	0	0	0	3
26	3	0	0.65	101325.731	101325.733	101325.628	101325.829	0.200440817	0	0	0	0	0	3
27	4	0	0.675	101325.728	101325.728	101325.628	101325.776	0.14765195	0	0	0	0	0	3
28	4	0	0.7	101325.724	101325.73	101325.628	101325.776	0.14765195	0	0	0	0	0	3
29	4	0	0.725	101325.719	101325.734	101325.628	101325.776	0.14765195	0	0	0	0	0	3
30	4	0	0.75	101325.716	101325.738	101325.65	101325.776	0.12571185	0	0	0	0	0	3
31	4	0	0.775	101325.711	101325.741	101325.701	101325.776	0.0751950962	0	0	0	0	0	3
32	4	0	0.8	101325.707	101325.742	101325.707	101325.776	0.0691422879	0	0	0	0	0	3
33	4	0	0.825	101325.704	101325.74	101325.704	101325.776	0.072305656	0	0	0	0	0	3
34	4	0	0.85	101325.703	101325.736	101325.703	101325.776	0.0732497503	0	0	0	0	0	3
35	4	0	0.875	101325.703	101325.733	101325.703	101325.775	0.0724773157	0	0	0	0	0	3
36	4	0	0.9	101325.705	101325.729	101325.703	101325.769	0.0665958192	0	0	0	0	0	3
37	4	0	0.925	101325.709	101325.726	101325.703	101325.762	0.0597860997	0	0	0	0	0	3
38	5	0	0.95	101325.712	101325.724	101325.703	101325.755	0.0521594351	0	0	0	0	0	3
39	5	0	0.975	101325.715	101325.722	101325.703	101325.749	0.0465495862	0	0	0	0	0	3
40	5	0	1	101325.716	101325.72	101325.703	101325.747	0.0443449512	0.189043044	0	0	0	0	3
41	5	0	1.025	101325.717	101325.718	101325.703	101325.743	0.0403801106	0.189043044	0	0	0	0	3
42	5	0	1.05	101325.716	101325.717	101325.703	101325.739	0.0367213543	0.189043044	0	0	0	0	3
43	5	0	1.075	101325.716	101325.716	101325.703	101325.736	0.0330454684	0.189043044	0	0	0	0	3
44	5	0	1.1	101325.715	101325.716	101325.703	101325.736	0.0330454684	0.189043044	0	0	0	0	3
45	5	0	1.125	101325.715	101325.715	101325.703	101325.733	0.0307149212	0.189043044	0	0	0	0	3
46	5	0	1.15	101325.714	101325.714	101325.703	101325.731	0.0275102563	0.189043044	0	0	0	0	3
47	5	0	1.175	101325.713	101325.713	101325.703	101325.728	0.025311196	0.189043044	0	0	0	0	3
48	5	0	1.2	101325.713	101325.713	101325.703	101325.724	0.0214894015	0.189043044	0	0	0	0	3
49	6	0	1.225	101325.712	101325.712	101325.703	101325.719	0.0167007678	0.189043044	0	0	0	0	3
50	6	0	1.25	101325.711	101325.712	101325.703	101325.717	0.0141112056	0.189043044	0	0	0	0	3
