Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.199953	293.199953	293.199953	293.199953	0	0	0	0	0	0	3
2	1	0	0.05	293.199947	293.19995	293.199947	293.199953	2.98293952e-06	0	0	0	0	0	3
3	1	0	0.075	293.199943	293.199948	293.199943	293.199953	5.39458404e-06	0	0	0	0	0	3
4	1	0	0.1	293.19994	293.199946	293.19994	293.199953	7.44453445e-06	0	0	0	0	0	3
5	1	0	0.125	293.199937	293.199944	293.199937	293.199953	9.18986836e-06	0	0	0	0	0	3
6	1	0	0.15	293.199935	293.199942	293.199935	293.199953	1.07382045e-05	0	0	0	0	0	3
7	2	0	0.175	293.199933	293.199941	293.199933	293.199953	1.2034136e-05	0	0	0	0	0	3
8	2	0	0.2	293.199933	293.19994	293.199933	293.199953	1.31023173e-05	0	0	0	0	0	3
9	2	0	0.225	293.199932	293.199939	293.199932	293.199953	1.40034088e-05	0	0	0	0	0	3
10	2	0	0.25	293.199931	293.199938	293.199931	293.199953	1.47912098e-05	0	0	0	0	0	3
11	2	0	0.275	293.199931	293.199938	293.199931	293.199953	1.54974591e-05	0	0	0	0	0	3
12	2	0	0.3	293.19993	293.199937	293.19993	293.199953	1.61713529e-05	0	0	0	0	0	3
13	2	0	0.325	293.199928	293.199936	293.199928	293.199953	1.68366715e-05	0	0	0	0	0	3
14	2	0	0.35	293.199927	293.199936	293.199927	293.199953	1.74975578e-05	0	0	0	0	0	3
15	3	0	0.375	293.199926	293.199935	293.199926	293.199953	1.81561546e-05	0	0	0	0	0	3
16	3	0	0.4	293.199924	293.199934	293.199924	293.199953	1.88283229e-05	0	0	0	0	0	3
17	3	0	0.425	293.199923	293.199934	293.199923	293.199953	1.95052502e-05	0	0	0	0	0	3
18	3	0	0.45	293.199921	293.199933	293.199921	293.199953	2.0179883e-05	0	0	0	0	0	3
19	3	0	0.475	293.19992	293.199932	293.19992	293.199953	2.08410434e-05	0	0	0	0	0	3
20	3	0	0.5	293.199919	293.199932	293.199919	293.199953	2.14824263e-05	0	0	0	0	0	3
21	3	0	0.525	293.199918	293.19993	293.199918	293.199947	2.0250624e-05	0	0	0	0	0	3
22	3	0	0.55	293.199917	293.199928	293.199917	293.199943	1.93473068e-05	0	0	0	0	0	3
23	3	0	0.575	293.199916	293.199927	293.199916	293.19994	1.86294857e-05	0	0	0	0	0	3
24	3	0	0.6	293.199915	293.199926	293.199915	293.199937	1.8087891e-05	0	0	0	0	0	3
25	3	0	0.625	293.199915	293.199925	293.199915	293.199935	1.76588744e-05	0	0	0	0	0	3
26	3	0	0.65	293.199913	293.199924	293.199913	293.199933	1.7428572e-05	0	0	0	0	0	3
27	4	0	0.675	293.199912	293.199923	293.199912	293.199933	1.74096883e-05	0	0	0	0	0	3
28	4	0	0.7	293.199912	293.199922	293.199912	293.199932	1.75427391e-05	0	0	0	0	0	3
29	4	0	0.725	293.199911	293.199921	293.199911	293.199931	1.77838234e-05	0	0	0	0	0	3
30	4	0	0.75	293.199911	293.19992	293.199911	293.199931	1.80858567e-05	0	0	0	0	0	3
31	4	0	0.775	293.199911	293.199919	293.199911	293.19993	1.8393041e-05	0	0	0	0	0	3
32	4	0	0.8	293.199911	293.199918	293.199911	293.199928	1.73610189e-05	0	0	0	0	0	3
33	4	0	0.825	293.199911	293.199917	293.199911	293.199927	1.63533858e-05	0	0	0	0	0	3
34	4	0	0.85	293.199911	293.199916	293.199911	293.199926	1.50659547e-05	0	0	0	0	0	3
35	4	0	0.875	293.19991	293.199915	293.19991	293.199924	1.37566879e-05	0	0	0	0	0	3
36	4	0	0.9	293.199911	293.199914	293.19991	293.199923	1.23314483e-05	0	0	0	0	0	3
37	4	0	0.925	293.19991	293.199914	293.19991	293.199921	1.10188948e-05	0	0	0	0	0	3
38	5	0	0.95	293.199911	293.199913	293.19991	293.19992	9.92560484e-06	0	0	0	0	0	3
39	5	0	0.975	293.199913	293.199913	293.19991	293.199919	8.99883275e-06	0	0	0	0	0	3
40	5	0	1	293.199914	293.199913	293.19991	293.199918	7.64479165e-06	4.86744936e-06	0	0	0	0	3
41	5	0	1.025	293.199915	293.199913	293.19991	293.199917	6.53510995e-06	4.86744936e-06	0	0	0	0	3
42	5	0	1.05	293.199916	293.199913	293.19991	293.199916	5.80707655e-06	4.86744936e-06	0	0	0	0	3
43	5	0	1.075	293.199916	293.199913	293.19991	293.199916	5.85722591e-06	4.86744936e-06	0	0	0	0	3
44	5	0	1.1	293.199917	293.199913	293.19991	293.199917	6.25881376e-06	4.86744936e-06	0	0	0	0	3
45	5	0	1.125	293.199917	293.199913	293.19991	293.199917	6.32278778e-06	4.86744936e-06	0	0	0	0	3
46	5	0	1.15	293.199917	293.199913	293.19991	293.199917	6.83120572e-06	4.86744936e-06	0	0	0	0	3
47	5	0	1.175	293.199917	293.199913	293.19991	293.199917	6.91104094e-06	4.86744936e-06	0	0	0	0	3
48	5	0	1.2	293.199917	293.199913	293.19991	293.199917	6.91104094e-06	4.86744936e-06	0	0	0	0	3
49	6	0	1.225	293.199918	293.199914	293.19991	293.199918	7.20322453e-06	4.86744936e-06	0	0	0	0	3
50	6	0	1.25	293.199918	293.199914	293.19991	293.199918	7.01711423e-06	4.86744936e-06	0	0	0	0	3
